"Subject", "Onderwerp"
"Content", "Inhoud"
"Template", "Template"
"Template Id", "Template Id"
"Template name", "Template naam"
"Message Centre", "Berichten Centrum"
"Message Information", "Bericht Informatie"
"CRM message couldn't be sent to the client", "CRM bericht kon niet verzonden worden naar de klant"
"CRM template couldn't be saved to the database", "CRM template kon niet worden opgeslagen in de database"
"CRM template has succesfully been saved to the database", "CRM template is succesvol opgeslagen in de database"
"CRM template couldn't be deleted from the database", "CRM template kon niet worden verwijderd uit de database"
"CRM template has been succesfully deleted from the database", "CRM template is succesvol verwijderd uit de database"
"CRM template name allready exists", "CRM template naam bestaat al in database"
"Refresh Page", "Herlaad pagina"
"Load Template", "Laad Template"
"Save Template", "Bewaar Template"
"Delete Template", "Verwijder Template"
"Save as New Template", "Bewaar als New Template"
"Load default Message", "Laad standaard bericht"
"Show / Hide Editor", "Toon / Verberg Editor"
"The CRM module is part of the Cart2Quote Enterprise version. <a href='%s' target='blank'>Upgrade or change to a paid plan</a> to unlock more features", "De CRM module is onderdeel van de Cart2Quote Enterprise editie. <a href='%s' target='blank'>Upgrade of schaf een betaalde versie aan</a> om meer functies te gebruiken"
"To use the CRM module of Cart2Quote and send messages to your customers <a href='%s' target='blank'>upgrade</a> to Cart2Quote Enterprise", "Om de CRM module van Cart2Quote te gebruiken en berichten te versturen naar de klanten <a href='%s' target='blank'>upgrade</a> naar Cart2Quote Enterprise"
"Submit Comment", "Verzend opmerking"
"Message History", "Berichtgeschiedenis"
"Message template", "Bericht Template"
